number,iteration,fitness_function,use_constraint,constraint_handling_method,constraint,particle_speed_limit,population_size,personal_confidence,swarm_confidence,particle_inertia,constraint_r,fitness,optimum,iterations,optimum_reached,iterations_to_opt
20019,1,Shubert function,true,Penalty Method,Constraint 3,19,5,0.5,1.5,0.1,-1.0,0.9984340102660186,1.0,500,false,8
20020,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.0,1.0,0.1,-1.0,0.995478960788984,1.0,500,false,6
20021,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.5,0.5,0.1,-1.0,1.0,1.0,500,true,159
20022,1,Shubert function,true,Penalty Method,Constraint 3,19,5,0.5,1.5,0.5,-1.0,1.0,1.0,500,true,7
20023,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.0,1.0,0.5,-1.0,1.0,1.0,500,true,10
20024,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.5,0.5,0.5,-1.0,0.9802668078726487,1.0,500,false,13
20025,1,Shubert function,true,Penalty Method,Constraint 3,19,5,0.5,1.5,0.9,-1.0,1.0,1.0,500,true,51
20026,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.0,1.0,0.9,-1.0,1.0,1.0,500,true,26
20027,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.5,0.5,0.9,-1.0,1.0,1.0,500,true,70
30001,1,Shubert function,true,Penalty Method,Constraint 3,2,5,0.5,1.5,0.1,-1.5,0.8792050241198657,1.0,500,false,26
30002,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.0,1.0,0.1,-1.5,0.9722211821975623,1.0,500,false,362
30003,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.5,0.5,0.1,-1.5,0.8792050241198657,1.0,500,false,390
30004,1,Shubert function,true,Penalty Method,Constraint 3,2,5,0.5,1.5,0.5,-1.5,0.9600646807130194,1.0,500,false,29
30005,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.0,1.0,0.5,-1.5,0.9246215418221769,1.0,500,false,26
30006,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.5,0.5,0.5,-1.5,0.9436499952256902,1.0,500,false,381
30007,1,Shubert function,true,Penalty Method,Constraint 3,2,5,0.5,1.5,0.9,-1.5,1.0,1.0,500,true,25
30008,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.0,1.0,0.9,-1.5,1.0,1.0,500,true,41
30009,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.5,0.5,0.9,-1.5,0.9956571182197101,1.0,500,false,175
30010,1,Shubert function,true,Penalty Method,Constraint 3,10,5,0.5,1.5,0.1,-1.5,0.7435780932121441,1.0,500,false,14
30011,1,Shubert function,true,Penalty Method,Constraint 3,10,5,1.0,1.0,0.1,-1.5,0.9978244196945305,1.0,500,false,256
30012,1,Shubert function,true,Penalty Method,Constraint 3,10,5,1.5,0.5,0.1,-1.5,0.7948662169704999,1.0,500,false,4
30013,1,Shubert function,true,Penalty Method,Constraint 3,10,5,0.5,1.5,0.5,-1.5,0.7491165997573589,1.0,500,false,19
30014,1,Shubert function,true,Penalty Method,Constraint 3,10,5,1.0,1.0,0.5,-1.5,1.0,1.0,500,true,302
30015,1,Shubert function,true,Penalty Method,Constraint 3,10,5,1.5,0.5,0.5,-1.5,0.9970438695245746,1.0,500,false,298
30016,1,Shubert function,true,Penalty Method,Constraint 3,10,5,0.5,1.5,0.9,-1.5,0.7491165997573589,1.0,500,false,16
30017,1,Shubert function,true,Penalty Method,Constraint 3,10,5,1.0,1.0,0.9,-1.5,0.7491165997573589,1.0,500,false,59
30018,1,Shubert function,true,Penalty Method,Constraint 3,10,5,1.5,0.5,0.9,-1.5,1.0,1.0,500,true,78
30019,1,Shubert function,true,Penalty Method,Constraint 3,19,5,0.5,1.5,0.1,-1.5,0.995478960788984,1.0,500,false,16
30020,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.0,1.0,0.1,-1.5,0.9978244196945305,1.0,500,false,39
30021,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.5,0.5,0.1,-1.5,0.9933205845912607,1.0,500,false,156
30022,1,Shubert function,true,Penalty Method,Constraint 3,19,5,0.5,1.5,0.5,-1.5,1.0,1.0,500,true,10
30023,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.0,1.0,0.5,-1.5,1.0,1.0,500,true,10
30024,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.5,0.5,0.5,-1.5,0.9436499952256902,1.0,500,false,6
30025,1,Shubert function,true,Penalty Method,Constraint 3,19,5,0.5,1.5,0.9,-1.5,1.0,1.0,500,true,46
30026,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.0,1.0,0.9,-1.5,1.0,1.0,500,true,31
30027,1,Shubert function,true,Penalty Method,Constraint 3,19,5,1.5,0.5,0.9,-1.5,1.0,1.0,500,true,122
40001,1,Shubert function,true,Penalty Method,Constraint 3,2,5,0.5,1.5,0.1,-2.0,0.995478960788984,1.0,500,false,47
40002,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.0,1.0,0.1,-2.0,0.981656504386682,1.0,500,false,35
40003,1,Shubert function,true,Penalty Method,Constraint 3,2,5,1.5,0.5,0.1,-2.0,0.7259760165529822,1.0,500,false,10
