number,fitness_function,use_constraint,constraint_handling_method,constraint,particle_speed_limit,population_size,personal_confidence,swarm_confidence,particle_inertia,constraint_r,
58,Booth's function,true,Penalty Method,Constraint 5,13,13,0.8,1.6,1.0,-0.15,
59,Schwefel function,true,Penalty Method,Constraint 5,13,13,0.8,1.6,1.0,-0.15,
60,Shubert function,true,Penalty Method,Constraint 10,13,13,0.8,1.6,0.3,-0.15,
61,Booth's function,true,Penalty Method,Constraint 10,13,13,0.8,1.6,0.3,-0.15,
62,Schwefel function,true,Penalty Method,Constraint 10,13,13,0.8,1.6,0.3,-0.15,
63,Shubert function,true,Penalty Method,Constraint 10,2,13,0.8,1.6,0.3,-0.15,
64,Booth's function,true,Penalty Method,Constraint 10,2,13,0.8,1.6,0.3,-0.15,
65,Schwefel function,true,Penalty Method,Constraint 10,2,13,0.8,1.6,0.3,-0.15,
66,Shubert function,true,Penalty Method,Constraint 10,10,13,0.8,1.6,0.3,-0.15,
67,Booth's function,true,Penalty Method,Constraint 10,10,13,0.8,1.6,0.3,-0.15,
68,Schwefel function,true,Penalty Method,Constraint 10,10,13,0.8,1.6,0.3,-0.15,
69,Shubert function,true,Penalty Method,Constraint 10,20,13,0.8,1.6,0.3,-0.15,
70,Booth's function,true,Penalty Method,Constraint 10,20,13,0.8,1.6,0.3,-0.15,
71,Schwefel function,true,Penalty Method,Constraint 10,20,13,0.8,1.6,0.3,-0.15,
72,Shubert function,true,Penalty Method,Constraint 10,13,13,0.1,1.0,0.3,-0.15,
73,Booth's function,true,Penalty Method,Constraint 10,13,13,0.1,1.0,0.3,-0.15,
74,Schwefel function,true,Penalty Method,Constraint 10,13,13,0.1,1.0,0.3,-0.15,
75,Shubert function,true,Penalty Method,Constraint 10,13,13,0.8,0.8,0.3,-0.15,
76,Booth's function,true,Penalty Method,Constraint 10,13,13,0.8,0.8,0.3,-0.15,
77,Schwefel function,true,Penalty Method,Constraint 10,13,13,0.8,0.8,0.3,-0.15,
78,Shubert function,true,Penalty Method,Constraint 10,13,13,1.0,1.0,0.3,-0.15,
79,Booth's function,true,Penalty Method,Constraint 10,13,13,1.0,1.0,0.3,-0.15,
80,Schwefel function,true,Penalty Method,Constraint 10,13,13,1.0,1.0,0.3,-0.15,
81,Shubert function,true,Penalty Method,Constraint 10,13,13,1.0,0.1,0.3,-0.15,
82,Booth's function,true,Penalty Method,Constraint 10,13,13,1.0,0.1,0.3,-0.15,
83,Schwefel function,true,Penalty Method,Constraint 10,13,13,1.0,0.1,0.3,-0.15,
84,Shubert function,true,Penalty Method,Constraint 10,13,13,0.8,1.6,0.1,-0.15,
85,Booth's function,true,Penalty Method,Constraint 10,13,13,0.8,1.6,0.1,-0.15,
86,Schwefel function,true,Penalty Method,Constraint 10,13,13,0.8,1.6,0.1,-0.15,
87,Shubert function,true,Penalty Method,Constraint 10,13,13,0.8,1.6,1.0,-0.15,
88,Booth's function,true,Penalty Method,Constraint 10,13,13,0.8,1.6,1.0,-0.15,
89,Schwefel function,true,Penalty Method,Constraint 10,13,13,0.8,1.6,1.0,-0.15,
90,Shubert function,true,Rejection Method,Constraint 3,13,13,0.8,1.6,0.3,-0.15,
91,Booth's function,true,Rejection Method,Constraint 3,13,13,0.8,1.6,0.3,-0.15,
92,Schwefel function,true,Rejection Method,Constraint 3,13,13,0.8,1.6,0.3,-0.15,
93,Shubert function,true,Rejection Method,Constraint 3,2,13,0.8,1.6,0.3,-0.15,
94,Booth's function,true,Rejection Method,Constraint 3,2,13,0.8,1.6,0.3,-0.15,
95,Schwefel function,true,Rejection Method,Constraint 3,2,13,0.8,1.6,0.3,-0.15,
96,Shubert function,true,Rejection Method,Constraint 3,10,13,0.8,1.6,0.3,-0.15,
97,Booth's function,true,Rejection Method,Constraint 3,10,13,0.8,1.6,0.3,-0.15,
98,Schwefel function,true,Rejection Method,Constraint 3,10,13,0.8,1.6,0.3,-0.15,
99,Shubert function,true,Rejection Method,Constraint 3,20,13,0.8,1.6,0.3,-0.15,
100,Booth's function,true,Rejection Method,Constraint 3,20,13,0.8,1.6,0.3,-0.15,
101,Schwefel function,true,Rejection Method,Constraint 3,20,13,0.8,1.6,0.3,-0.15,
102,Shubert function,true,Rejection Method,Constraint 3,13,13,0.1,1.0,0.3,-0.15,
103,Booth's function,true,Rejection Method,Constraint 3,13,13,0.1,1.0,0.3,-0.15,
104,Schwefel function,true,Rejection Method,Constraint 3,13,13,0.1,1.0,0.3,-0.15,
105,Shubert function,true,Rejection Method,Constraint 3,13,13,0.8,0.8,0.3,-0.15,
106,Booth's function,true,Rejection Method,Constraint 3,13,13,0.8,0.8,0.3,-0.15,
107,Schwefel function,true,Rejection Method,Constraint 3,13,13,0.8,0.8,0.3,-0.15,
108,Shubert function,true,Rejection Method,Constraint 3,13,13,1.0,1.0,0.3,-0.15,
109,Booth's function,true,Rejection Method,Constraint 3,13,13,1.0,1.0,0.3,-0.15,
110,Schwefel function,true,Rejection Method,Constraint 3,13,13,1.0,1.0,0.3,-0.15,
111,Shubert function,true,Rejection Method,Constraint 3,13,13,1.0,0.1,0.3,-0.15,
112,Booth's function,true,Rejection Method,Constraint 3,13,13,1.0,0.1,0.3,-0.15,
113,Schwefel function,true,Rejection Method,Constraint 3,13,13,1.0,0.1,0.3,-0.15,
114,Shubert function,true,Rejection Method,Constraint 3,13,13,0.8,1.6,0.1,-0.15,
115,Booth's function,true,Rejection Method,Constraint 3,13,13,0.8,1.6,0.1,-0.15,
116,Schwefel function,true,Rejection Method,Constraint 3,13,13,0.8,1.6,0.1,-0.15,
117,Shubert function,true,Rejection Method,Constraint 3,13,13,0.8,1.6,1.0,-0.15,
118,Booth's function,true,Rejection Method,Constraint 3,13,13,0.8,1.6,1.0,-0.15,
119,Schwefel function,true,Rejection Method,Constraint 3,13,13,0.8,1.6,1.0,-0.15,
120,Shubert function,true,Rejection Method,Constraint 5,13,13,0.8,1.6,0.3,-0.15,
121,Booth's function,true,Rejection Method,Constraint 5,13,13,0.8,1.6,0.3,-0.15,
122,Schwefel function,true,Rejection Method,Constraint 5,13,13,0.8,1.6,0.3,-0.15,
123,Shubert function,true,Rejection Method,Constraint 5,2,13,0.8,1.6,0.3,-0.15,
124,Booth's function,true,Rejection Method,Constraint 5,2,13,0.8,1.6,0.3,-0.15,
125,Schwefel function,true,Rejection Method,Constraint 5,2,13,0.8,1.6,0.3,-0.15,
126,Shubert function,true,Rejection Method,Constraint 5,10,13,0.8,1.6,0.3,-0.15,
127,Booth's function,true,Rejection Method,Constraint 5,10,13,0.8,1.6,0.3,-0.15,
128,Schwefel function,true,Rejection Method,Constraint 5,10,13,0.8,1.6,0.3,-0.15,
129,Shubert function,true,Rejection Method,Constraint 5,20,13,0.8,1.6,0.3,-0.15,
130,Booth's function,true,Rejection Method,Constraint 5,20,13,0.8,1.6,0.3,-0.15,
131,Schwefel function,true,Rejection Method,Constraint 5,20,13,0.8,1.6,0.3,-0.15,
132,Shubert function,true,Rejection Method,Constraint 5,13,13,0.1,1.0,0.3,-0.15,
133,Booth's function,true,Rejection Method,Constraint 5,13,13,0.1,1.0,0.3,-0.15,
134,Schwefel function,true,Rejection Method,Constraint 5,13,13,0.1,1.0,0.3,-0.15,
135,Shubert function,true,Rejection Method,Constraint 5,13,13,0.8,0.8,0.3,-0.15,
136,Booth's function,true,Rejection Method,Constraint 5,13,13,0.8,0.8,0.3,-0.15,
137,Schwefel function,true,Rejection Method,Constraint 5,13,13,0.8,0.8,0.3,-0.15,
138,Shubert function,true,Rejection Method,Constraint 5,13,13,1.0,1.0,0.3,-0.15,
139,Booth's function,true,Rejection Method,Constraint 5,13,13,1.0,1.0,0.3,-0.15,
140,Schwefel function,true,Rejection Method,Constraint 5,13,13,1.0,1.0,0.3,-0.15,
141,Shubert function,true,Rejection Method,Constraint 5,13,13,1.0,0.1,0.3,-0.15,
142,Booth's function,true,Rejection Method,Constraint 5,13,13,1.0,0.1,0.3,-0.15,
143,Schwefel function,true,Rejection Method,Constraint 5,13,13,1.0,0.1,0.3,-0.15,
144,Shubert function,true,Rejection Method,Constraint 5,13,13,0.8,1.6,0.1,-0.15,
145,Booth's function,true,Rejection Method,Constraint 5,13,13,0.8,1.6,0.1,-0.15,
146,Schwefel function,true,Rejection Method,Constraint 5,13,13,0.8,1.6,0.1,-0.15,
147,Shubert function,true,Rejection Method,Constraint 5,13,13,0.8,1.6,1.0,-0.15,
148,Booth's function,true,Rejection Method,Constraint 5,13,13,0.8,1.6,1.0,-0.15,
149,Schwefel function,true,Rejection Method,Constraint 5,13,13,0.8,1.6,1.0,-0.15,
150,Shubert function,true,Rejection Method,Constraint 10,13,13,0.8,1.6,0.3,-0.15,
