number,iteration,fitness_function,use_constraint,constraint_handling_method,constraint,particle_speed_limit,population_size,personal_confidence,swarm_confidence,particle_inertia,constraint_r,fitness,optimum,iterations,optimum_reached,iterations_to_opt
50003,2,Booth's function,false,,,19,10,0.8,1.6,0.3,-0.15,0.9998291273748625,1.0,500,false,13
60001,2,Schwefel function,false,,,2,10,0.8,1.6,0.3,-0.15,0.7483099669085332,1.0,500,false,93
60002,2,Schwefel function,false,,,10,10,0.8,1.6,0.3,-0.15,0.7532771996907337,1.0,500,false,60
60003,2,Schwefel function,false,,,19,10,0.8,1.6,0.3,-0.15,0.7578115173786006,1.0,500,false,38
70001,2,Shubert function,false,,,2,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,53
70002,2,Shubert function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,6
70003,2,Shubert function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,4
80001,2,Booth's function,false,,,2,35,0.8,1.6,0.3,-0.15,0.9999893204609289,1.0,500,false,15
80002,2,Booth's function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,6
80003,2,Booth's function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,3
90001,2,Schwefel function,false,,,2,35,0.8,1.6,0.3,-0.15,0.9885690106073749,1.0,500,false,227
90002,2,Schwefel function,false,,,10,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,34
90003,2,Schwefel function,false,,,19,35,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,24
100001,2,Shubert function,false,,,2,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,40
100002,2,Shubert function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,9
100003,2,Shubert function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,7
110001,2,Booth's function,false,,,2,80,0.8,1.6,0.3,-0.15,0.9999572818437156,1.0,500,false,33
110002,2,Booth's function,false,,,10,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,7
110003,2,Booth's function,false,,,19,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,5
120001,2,Schwefel function,false,,,2,80,0.8,1.6,0.3,-0.15,1.0,1.0,500,true,67
